Duplicate Key['A05', 'F', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A001', 'F', '21', '001', 'Underweight', '12', '1-1-1996']
Duplicate Key['A001', 'F', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['Q001', 'M', '45', '999', 'Underweight', '725', '31-12-1971']
Duplicate Key['a002', 'F', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A!05', 'F', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A003', 'f', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A004', 'F', '100', '001', 'Normal', '12', '1-1-1917']
Duplicate Key['Q002', 'M', '45', '99', 'Underweight', '725', '31-12-1971']
Duplicate Key['Q003', 'M', '45', '99', 'underweight', '725', '31-12-1971']
Duplicate Key['Q004', 'M', '45', '999', 'Underweight', '1725', '31-12-1971']
Duplicate Key['Q005', 'M', '45', '999', 'Underweight', '725', '12-31-1971']
Duplicate Key['A05', 'F', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['006A', 'F', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A007B', 'F', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['@A008', 'F', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A009', 'female', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A010', 'miss', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A011', '', '21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['A012', 'F', '-21', '001', 'Normal', '12', '1-1-1996']
Duplicate Key['Q006', 'M', '45', '999', 'Strong', '725', '31-12-1971']
Duplicate Key['Q007', 'M', '45', '999', 'week', '725', '31-12-1971']
Duplicate Key['Q008', 'M', '45', '999', '100', '725', '31-12-1971']
Duplicate Key['Q009', 'M', '45', '999', 'Underweight', '75high', '31-12-1971']
Duplicate Key['Q010', 'M', '45', '999', 'Underweight', '725', '31-11-1971']
Duplicate Key['Q011', 'M', '46', '999', 'Underweight', '725', '31-01-1971']
Duplicate Key['Q012', 'M', '46', '999', 'Underweight', '725', '31-Jan-1971']
Duplicate Key['Q013', 'M', '46', '999', 'Underweight', '725', 'Jan-31-1971']
Duplicate Key['Q014', 'M', '46', '999', 'Underweight', '725', '31-12-1971']
Duplicate Key['A001', 'F', '21', '001', 'Underweight', '12', '1-1-1996']
Duplicate Key['A $$$ 283', 'Ma le', '2$0', '   444', 'Obese', '12', '1st Feb 1998']
Duplicate Key['A222', 'Girl', '20', '777', 'Normal', '12', '2nd January 1998']
